id,o,c,e,a,n
56573534,0.734,0.665,0.658,0.586,0.284
188039706,0.816,0.785,0.711,0.66,0.264
188040570,0.884,0.67,0.679,0.631,0.352
188045721,0.779,0.648,0.625,0.593,0.414
188046098,0.793,0.78,0.633,0.687,0.271
188047074,0.745,0.671,0.645,0.587,0.381
188084588,0.765,0.664,0.739,0.544,0.362
106954668,0.825,0.607,0.647,0.562,0.355
108562201,0.754,0.618,0.672,0.502,0.414
188089230,0.736,0.68,0.614,0.6,0.328
188096594,0.888,0.758,0.688,0.62,0.374
188098460,0.739,0.677,0.646,0.608,0.378
188100262,0.729,0.668,0.629,0.607,0.351
84915442,0.711,0.589,0.653,0.627,0.314
47499606,0.719,0.661,0.594,0.625,0.261
188102842,0.804,0.638,0.638,0.598,0.397
188108667,0.757,0.653,0.633,0.583,0.369
188114027,0.746,0.628,0.582,0.602,0.382
188118111,0.793,0.662,0.659,0.576,0.278
20684656,0.728,0.629,0.617,0.625,0.507
188124096,0.84,0.593,0.646,0.669,0.311
188154135,0.733,0.484,0.538,0.488,0.571
188164910,0.917,0.661,0.688,0.63,0.356
188174957,0.859,0.687,0.742,0.67,0.222
84943892,0.768,0.666,0.639,0.584,0.385
188196198,0.896,0.694,0.687,0.59,0.289
36771809,0.825,0.722,0.691,0.703,0.197
15581082,0.808,0.685,0.682,0.68,0.206
188224283,0.777,0.747,0.638,0.679,0.307
188297556,0.81,0.592,0.637,0.623,0.41
188352161,0.83,0.587,0.616,0.65,0.438
188369646,0.755,0.758,0.603,0.642,0.309
188369983,0.833,0.699,0.711,0.65,0.227
188374092,0.765,0.655,0.668,0.604,0.373
188376407,0.796,0.589,0.636,0.673,0.494
188395975,0.65,0.702,0.761,0.694,0.213
188398607,0.756,0.559,0.63,0.651,0.404
188401579,0.68,0.75,0.579,0.557,0.362
188412002,0.692,0.674,0.649,0.591,0.3
188421312,0.914,0.866,0.769,0.637,0.443
188422887,0.787,0.683,0.723,0.6,0.385
188430146,0.758,0.652,0.587,0.648,0.421
188443111,0.809,0.647,0.689,0.611,0.372
145271868,0.788,0.655,0.618,0.64,0.314
188443744,0.767,0.712,0.681,0.73,0.183
188451901,0.822,0.711,0.688,0.614,0.318
188456382,0.757,0.609,0.694,0.579,0.35
188489537,0.871,0.726,0.679,0.63,0.311
188492073,0.714,0.685,0.664,0.622,0.392
47530681,0.751,0.592,0.646,0.624,0.388
47583067,0.811,0.547,0.616,0.62,0.456
188499505,0.739,0.623,0.626,0.677,0.55
188510878,0.702,0.496,0.617,0.563,0.381
188524986,0.801,0.62,0.684,0.608,0.404
188550511,0.741,0.547,0.626,0.662,0.406
193074189,0.848,0.751,0.638,0.614,0.348
56777406,0.831,0.583,0.632,0.694,0.289
16068360,0.849,0.652,0.674,0.664,0.353
2572271,0.781,0.647,0.67,0.691,0.304
16069493,0.852,0.62,0.687,0.61,0.272
16069548,0.836,0.769,0.756,0.681,0.247
16069900,0.785,0.599,0.606,0.655,0.352
31994367,0.878,0.792,0.635,0.627,0.341
193090142,0.854,0.787,0.589,0.627,0.27
193091087,0.749,0.654,0.66,0.587,0.36
284843185,0.788,0.643,0.693,0.672,0.416
51552769,0.739,0.627,0.727,0.679,0.194
264553691,0.71,0.612,0.668,0.54,0.292
193095044,0.681,0.633,0.569,0.623,0.29
193107999,0.83,0.702,0.71,0.62,0.304
193113192,0.812,0.607,0.676,0.609,0.361
53999790,0.72,0.649,0.631,0.643,0.342
48693089,0.754,0.685,0.636,0.606,0.375
193123142,0.843,0.752,0.699,0.618,0.354
193126850,0.83,0.745,0.738,0.622,0.444
193164324,0.763,0.626,0.624,0.604,0.315
217868259,0.771,0.655,0.636,0.578,0.396
56862024,0.694,0.745,0.576,0.586,0.399
54043045,0.804,0.645,0.675,0.695,0.42
245515352,0.832,0.591,0.728,0.574,0.352
245539132,0.647,0.695,0.67,0.614,0.259
245546132,0.78,0.572,0.621,0.633,0.448
245562059,0.76,0.828,0.699,0.667,0.375
245564182,0.718,0.704,0.693,0.67,0.291
249405898,0.83,0.566,0.694,0.623,0.37
249425902,0.785,0.648,0.746,0.573,0.428
258237492,0.835,0.595,0.711,0.676,0.368
284870489,0.711,0.77,0.702,0.686,0.466
7214972,0.742,0.622,0.663,0.629,0.471
258280763,0.82,0.599,0.717,0.638,0.322
258304652,0.848,0.692,0.635,0.587,0.346
258311318,0.706,0.73,0.709,0.664,0.362
258332222,0.765,0.652,0.638,0.58,0.377
258342781,0.814,0.78,0.744,0.727,0.216
258411613,0.725,0.483,0.617,0.62,0.331
258447233,0.759,0.757,0.746,0.675,0.188
258452069,0.866,0.585,0.63,0.616,0.374
258461457,0.798,0.685,0.641,0.626,0.282
258464591,0.669,0.68,0.645,0.626,0.347
258591358,0.753,0.707,0.715,0.649,0.283
258591819,0.861,0.604,0.678,0.524,0.396
258606602,0.817,0.617,0.653,0.661,0.448
258609209,0.626,0.67,0.593,0.488,0.444
258741967,0.836,0.596,0.642,0.547,0.37
263483937,0.819,0.751,0.724,0.623,0.366
363964226,0.707,0.648,0.681,0.607,0.315
23539009,0.793,0.685,0.744,0.673,0.315
263514193,0.832,0.719,0.686,0.642,0.29
263520313,0.777,0.568,0.566,0.622,0.279
263522126,0.871,0.759,0.692,0.692,0.366
263527613,0.85,0.68,0.71,0.668,0.308
485911079,0.816,0.561,0.63,0.607,0.482
263533393,0.744,0.722,0.627,0.625,0.316
263545304,0.798,0.622,0.652,0.731,0.412
263553997,0.86,0.661,0.685,0.581,0.305
263576813,0.759,0.704,0.734,0.582,0.322
263610393,0.777,0.623,0.67,0.615,0.336
263989720,0.763,0.622,0.713,0.732,0.356
264011729,0.743,0.753,0.617,0.661,0.279
264013722,0.733,0.641,0.675,0.592,0.373
264020691,0.865,0.707,0.667,0.665,0.344
394382630,0.739,0.65,0.653,0.631,0.429
20235403,0.754,0.681,0.648,0.608,0.397
3460221,0.714,0.565,0.617,0.631,0.407
12685132,0.831,0.754,0.649,0.64,0.322
264093451,0.795,0.664,0.588,0.683,0.348
264093983,0.864,0.765,0.639,0.694,0.233
264109921,0.736,0.583,0.641,0.703,0.366
264124770,0.723,0.76,0.625,0.673,0.277
23567348,0.758,0.764,0.709,0.635,0.466
7023592,0.8,0.76,0.689,0.65,0.362
264146256,0.819,0.606,0.641,0.649,0.314
264198924,0.768,0.673,0.686,0.586,0.314
151959313,0.68,0.71,0.696,0.661,0.419
264224758,0.869,0.842,0.706,0.652,0.374
264281499,0.824,0.681,0.661,0.619,0.409
98193780,0.762,0.736,0.596,0.672,0.405
264288834,0.882,0.599,0.709,0.637,0.374
264348615,0.811,0.613,0.708,0.64,0.292
264372235,0.774,0.759,0.659,0.655,0.283
267789756,0.714,0.648,0.724,0.604,0.304
116366025,0.716,0.53,0.597,0.641,0.407
267880518,0.698,0.731,0.731,0.687,0.313
47515463,0.858,0.605,0.654,0.699,0.319
370518593,0.855,0.595,0.629,0.581,0.332
267882730,0.762,0.571,0.593,0.633,0.356
267886862,0.813,0.738,0.689,0.68,0.281
267923399,0.756,0.489,0.611,0.541,0.453
21312378,0.685,0.665,0.697,0.63,0.339
94924225,0.803,0.654,0.632,0.661,0.386
267924908,0.791,0.64,0.7,0.624,0.305
267969409,0.899,0.592,0.69,0.625,0.327
267979349,0.803,0.644,0.616,0.608,0.398
267980765,0.739,0.684,0.669,0.606,0.343
14915043,0.687,0.679,0.627,0.631,0.392
268011775,0.721,0.632,0.625,0.707,0.291
268011995,0.826,0.695,0.65,0.587,0.298
268035072,0.718,0.723,0.636,0.717,0.219
268039942,0.787,0.65,0.698,0.572,0.332
268044160,0.742,0.619,0.646,0.701,0.463
268099645,0.873,0.558,0.627,0.687,0.414
268103467,0.699,0.573,0.685,0.562,0.42
268107349,0.848,0.731,0.735,0.623,0.37
268148190,0.742,0.657,0.7,0.537,0.315
268159301,0.818,0.503,0.603,0.655,0.36
268217115,0.722,0.588,0.648,0.653,0.434
268245745,0.703,0.674,0.686,0.64,0.339
268251371,0.811,0.776,0.673,0.612,0.316
268270621,0.864,0.754,0.749,0.612,0.268
268329380,0.864,0.645,0.608,0.667,0.36
268332181,0.858,0.673,0.757,0.601,0.324
268343277,0.833,0.738,0.665,0.673,0.29
116766267,0.759,0.675,0.643,0.605,0.389
268369881,0.756,0.658,0.637,0.584,0.373
294303801,0.746,0.667,0.665,0.607,0.398
294333877,0.731,0.751,0.692,0.7,0.287
294338534,0.753,0.652,0.633,0.583,0.364
294339821,0.752,0.65,0.638,0.579,0.366
294361452,0.722,0.612,0.62,0.723,0.398
294377716,0.758,0.657,0.642,0.58,0.373
268376042,0.805,0.598,0.597,0.649,0.479
294404979,0.826,0.721,0.722,0.642,0.363
294463523,0.717,0.692,0.65,0.661,0.302
56952600,0.724,0.675,0.674,0.597,0.381
294636267,0.847,0.679,0.659,0.577,0.366
294728278,0.785,0.781,0.707,0.628,0.284
294755620,0.779,0.632,0.665,0.626,0.371
14561327,0.824,0.622,0.645,0.546,0.352
14561639,0.863,0.552,0.653,0.592,0.374
57032928,0.727,0.659,0.72,0.675,0.334
268390903,0.779,0.807,0.751,0.674,0.275
268414482,0.872,0.822,0.719,0.621,0.523
268421906,0.801,0.6,0.626,0.686,0.474
268425888,0.905,0.554,0.695,0.581,0.323
268439864,0.906,0.849,0.744,0.672,0.43
268453413,0.849,0.666,0.663,0.633,0.406
268459684,0.719,0.652,0.757,0.673,0.184
268479669,0.842,0.704,0.695,0.661,0.404
268479992,0.809,0.712,0.706,0.682,0.463
268489591,0.803,0.816,0.739,0.686,0.307
29060898,0.746,0.691,0.652,0.616,0.336
268515338,0.78,0.675,0.7,0.685,0.405
268516461,0.715,0.71,0.619,0.614,0.303
268531577,0.827,0.646,0.579,0.698,0.377
17907917,0.658,0.68,0.57,0.672,0.276
264661070,0.839,0.602,0.66,0.541,0.388
268548585,0.819,0.679,0.63,0.58,0.288
268894244,0.804,0.653,0.596,0.655,0.38
268901752,0.743,0.659,0.642,0.58,0.366
268912717,0.715,0.684,0.703,0.621,0.37
20283403,0.734,0.648,0.751,0.682,0.202
414095341,0.848,0.803,0.667,0.707,0.262
268915110,0.813,0.748,0.726,0.621,0.332
268940319,0.786,0.677,0.764,0.567,0.301
268947428,0.701,0.681,0.647,0.672,0.213
268955200,0.758,0.787,0.652,0.705,0.392
269004208,0.821,0.655,0.698,0.62,0.416
269018971,0.767,0.658,0.644,0.581,0.377
269042188,0.767,0.776,0.675,0.659,0.46
269050630,0.802,0.774,0.697,0.636,0.492
269053694,0.706,0.737,0.646,0.659,0.271
269058528,0.791,0.665,0.631,0.613,0.396
12768092,0.733,0.647,0.691,0.606,0.411
269078421,0.869,0.642,0.597,0.511,0.349
269085895,0.795,0.624,0.676,0.668,0.49
271168132,0.696,0.772,0.669,0.673,0.455
271168285,0.841,0.667,0.655,0.574,0.41
56662023,0.726,0.663,0.63,0.585,0.376
12801162,0.858,0.626,0.686,0.656,0.346
12804312,0.688,0.659,0.593,0.608,0.295
12804422,0.743,0.777,0.691,0.759,0.281
291943645,0.859,0.62,0.613,0.589,0.443
292733652,0.761,0.515,0.62,0.617,0.385
306232814,0.821,0.763,0.695,0.681,0.255
306420546,0.766,0.654,0.639,0.582,0.375
29061876,0.701,0.671,0.662,0.662,0.285
20993292,0.829,0.729,0.656,0.671,0.48
306472866,0.762,0.576,0.625,0.608,0.355
306541147,0.821,0.675,0.653,0.666,0.452
306604708,0.89,0.651,0.69,0.621,0.401
306608429,0.737,0.633,0.619,0.636,0.34
320559293,0.739,0.706,0.695,0.728,0.251
265905719,0.753,0.676,0.669,0.599,0.364
320593823,0.738,0.558,0.627,0.561,0.367
320640112,0.807,0.556,0.658,0.655,0.336
320679856,0.835,0.623,0.693,0.579,0.447
337833396,0.784,0.569,0.579,0.655,0.379
337836372,0.82,0.779,0.687,0.619,0.281
337839135,0.83,0.625,0.701,0.644,0.412
337840714,0.837,0.694,0.657,0.69,0.474
339600461,0.758,0.598,0.654,0.65,0.42
339744913,0.795,0.671,0.629,0.606,0.415
378644447,0.726,0.697,0.659,0.616,0.374
378677314,0.748,0.603,0.683,0.691,0.398
379720822,0.744,0.683,0.66,0.599,0.393
380018773,0.787,0.637,0.637,0.576,0.372
380649845,0.735,0.68,0.659,0.606,0.378
382406136,0.732,0.708,0.728,0.619,0.37
266127146,0.761,0.592,0.677,0.645,0.283
522381584,0.75,0.609,0.626,0.61,0.464
522434045,0.775,0.613,0.627,0.653,0.338
522485164,0.743,0.665,0.569,0.617,0.321
522492204,0.763,0.666,0.646,0.594,0.387
522497198,0.779,0.635,0.569,0.582,0.361
522532707,0.78,0.674,0.651,0.607,0.278
522583084,0.785,0.626,0.611,0.668,0.327
266224320,0.879,0.734,0.731,0.654,0.362
6857962,0.839,0.683,0.649,0.693,0.293
522731421,0.889,0.641,0.74,0.644,0.426
522817585,0.829,0.623,0.703,0.664,0.328
522853167,0.695,0.717,0.571,0.633,0.253
21019965,0.818,0.688,0.742,0.595,0.442
266249674,0.803,0.773,0.708,0.669,0.522
522874236,0.893,0.677,0.653,0.649,0.297
522907555,0.727,0.574,0.694,0.499,0.406
524054940,0.761,0.661,0.691,0.592,0.372
835261,0.83,0.734,0.604,0.584,0.376
15393582,0.717,0.67,0.691,0.638,0.347
15578992,0.822,0.715,0.648,0.624,0.337
15582699,0.812,0.602,0.644,0.505,0.418
15582769,0.867,0.616,0.692,0.615,0.393
841791,0.863,0.637,0.713,0.68,0.408
849131,0.758,0.607,0.685,0.664,0.377
852301,0.777,0.579,0.679,0.546,0.313
855741,0.793,0.618,0.664,0.64,0.49
15587500,0.735,0.757,0.637,0.71,0.257
15588657,0.864,0.843,0.666,0.719,0.268
862681,0.842,0.623,0.665,0.528,0.384
11361262,0.828,0.606,0.687,0.634,0.417
11367172,0.718,0.668,0.633,0.619,0.382
11382292,0.687,0.653,0.647,0.622,0.33
11393832,0.795,0.719,0.703,0.652,0.357
11404142,0.765,0.675,0.643,0.602,0.396
11439162,0.77,0.579,0.681,0.656,0.411
11440412,0.823,0.636,0.59,0.647,0.407
11446092,0.762,0.571,0.6,0.618,0.418
11447852,0.775,0.645,0.648,0.728,0.439
11456882,0.811,0.656,0.651,0.649,0.377
11461532,0.713,0.537,0.642,0.609,0.444
11491562,0.834,0.686,0.65,0.665,0.396
11504382,0.786,0.625,0.621,0.626,0.344
11518842,0.774,0.683,0.617,0.609,0.326
11522502,0.884,0.77,0.68,0.653,0.349
11590642,0.758,0.656,0.641,0.581,0.369
11612722,0.707,0.646,0.663,0.652,0.238
11659332,0.843,0.765,0.717,0.639,0.362
11666142,0.858,0.609,0.678,0.605,0.367
11666332,0.836,0.601,0.691,0.629,0.35
11680312,0.771,0.747,0.59,0.727,0.339
11724412,0.898,0.65,0.676,0.644,0.288
11726442,0.695,0.681,0.615,0.508,0.377
11733372,0.91,0.805,0.71,0.653,0.303
284929267,0.682,0.626,0.668,0.619,0.276
11738772,0.922,0.788,0.732,0.644,0.346
11740902,0.949,0.724,0.629,0.634,0.371
14769076,0.832,0.649,0.645,0.705,0.514
14769234,0.672,0.673,0.587,0.647,0.363
14769244,0.829,0.636,0.625,0.674,0.342
14769496,0.763,0.712,0.668,0.695,0.461
15834123,0.772,0.548,0.589,0.586,0.493
15834599,0.74,0.601,0.647,0.468,0.428
14769695,0.742,0.571,0.601,0.658,0.463
14770116,0.814,0.687,0.651,0.643,0.294
14770778,0.883,0.545,0.578,0.57,0.481
14772687,0.816,0.728,0.642,0.644,0.342
14773506,0.851,0.648,0.635,0.596,0.377
14773982,0.772,0.733,0.676,0.619,0.371
14774443,0.775,0.743,0.652,0.658,0.2
14774669,0.788,0.637,0.647,0.627,0.361
14774810,0.761,0.662,0.623,0.665,0.397
14774858,0.768,0.727,0.75,0.696,0.276
14775210,0.702,0.576,0.663,0.675,0.472
14775425,0.886,0.653,0.73,0.643,0.328
14775687,0.815,0.503,0.604,0.555,0.482
14775707,0.743,0.64,0.705,0.687,0.357
14775981,0.707,0.658,0.672,0.647,0.387
14776297,0.835,0.643,0.695,0.617,0.401
14777215,0.913,0.79,0.679,0.682,0.334
14777649,0.796,0.735,0.712,0.627,0.37
14778991,0.817,0.563,0.683,0.635,0.401
14779526,0.832,0.82,0.67,0.707,0.228
14895591,0.88,0.774,0.681,0.649,0.364
14895831,0.716,0.621,0.682,0.659,0.299
14896237,0.75,0.591,0.696,0.6,0.369
14897726,0.876,0.667,0.634,0.691,0.316
14897840,0.669,0.656,0.631,0.604,0.281
14898334,0.805,0.63,0.629,0.623,0.302
21705931,0.837,0.708,0.738,0.624,0.422
14902334,0.747,0.605,0.623,0.505,0.442
14902737,0.734,0.67,0.737,0.681,0.221
48117116,0.713,0.662,0.624,0.525,0.385
14903053,0.774,0.657,0.64,0.582,0.39
14903310,0.883,0.776,0.744,0.647,0.238
14903374,0.718,0.656,0.616,0.653,0.422
14904039,0.731,0.676,0.656,0.603,0.385
14904191,0.908,0.674,0.694,0.605,0.361
14904282,0.954,0.649,0.636,0.718,0.263
14904652,0.659,0.703,0.809,0.68,0.256
49057486,0.693,0.527,0.617,0.63,0.381
14905646,0.919,0.862,0.751,0.648,0.388
14905860,0.702,0.615,0.653,0.701,0.456
14905961,0.882,0.598,0.659,0.626,0.354
14906265,0.663,0.701,0.745,0.668,0.246
14907118,0.742,0.686,0.634,0.686,0.511
14907643,0.704,0.67,0.558,0.616,0.452
14908175,0.853,0.634,0.654,0.65,0.351
14909968,0.865,0.757,0.665,0.612,0.388
14911155,0.82,0.563,0.683,0.617,0.414
14911211,0.747,0.613,0.662,0.685,0.513
14911539,0.716,0.661,0.623,0.599,0.357
14911702,0.887,0.758,0.676,0.667,0.293
14911831,0.75,0.767,0.679,0.69,0.279
136990980,0.755,0.657,0.641,0.575,0.374
14912077,0.759,0.667,0.634,0.594,0.401
23037952,0.782,0.626,0.635,0.654,0.394
14912587,0.806,0.623,0.669,0.59,0.403
14913137,0.865,0.599,0.631,0.605,0.378
14914036,0.767,0.684,0.656,0.657,0.388
14916626,0.736,0.646,0.624,0.647,0.272
14917050,0.794,0.499,0.644,0.544,0.386
23043210,0.759,0.602,0.648,0.637,0.392
14919967,0.743,0.731,0.724,0.689,0.359
14920536,0.727,0.689,0.634,0.657,0.276
14920785,0.722,0.729,0.694,0.602,0.281
14921620,0.766,0.793,0.682,0.711,0.307
14921836,0.78,0.704,0.741,0.656,0.459
14922225,0.819,0.771,0.711,0.669,0.263
14923505,0.855,0.592,0.649,0.655,0.376
14924086,0.831,0.652,0.64,0.607,0.358
14924876,0.828,0.591,0.699,0.636,0.358
14924965,0.908,0.754,0.677,0.674,0.287
14925243,0.79,0.496,0.646,0.59,0.404
14925517,0.835,0.751,0.694,0.724,0.232
14925700,0.863,0.73,0.649,0.635,0.376
14926242,0.858,0.655,0.655,0.678,0.324
14926366,0.793,0.615,0.691,0.634,0.412
14926588,0.671,0.652,0.614,0.599,0.386
14927205,0.708,0.599,0.661,0.683,0.346
14927276,0.738,0.651,0.682,0.753,0.382
14927543,0.799,0.629,0.588,0.613,0.355
14927775,0.752,0.604,0.602,0.655,0.416
14927800,0.843,0.688,0.649,0.627,0.293
14928123,0.851,0.702,0.724,0.634,0.276
14928404,0.851,0.652,0.646,0.622,0.335
14929280,0.888,0.663,0.739,0.648,0.353
57325709,0.769,0.666,0.64,0.602,0.398
23112565,0.651,0.731,0.691,0.676,0.203
23114836,0.769,0.744,0.722,0.63,0.239
23117133,0.796,0.771,0.701,0.698,0.25
14929587,0.851,0.677,0.72,0.645,0.394
14929961,0.728,0.577,0.56,0.713,0.414
14930460,0.713,0.7,0.697,0.639,0.417
14930659,0.827,0.6,0.68,0.589,0.424
14931514,0.704,0.659,0.72,0.721,0.262
14931576,0.857,0.573,0.612,0.716,0.379
14932461,0.705,0.696,0.702,0.643,0.366
14932753,0.825,0.726,0.641,0.664,0.302
14933405,0.789,0.635,0.619,0.537,0.398
16226181,0.785,0.566,0.576,0.652,0.49
15895115,0.878,0.656,0.648,0.592,0.348
16226911,0.823,0.731,0.71,0.688,0.444
16228398,0.757,0.65,0.67,0.581,0.288
16228666,0.766,0.612,0.553,0.595,0.478
16228822,0.718,0.712,0.753,0.66,0.305
16229299,0.777,0.716,0.682,0.666,0.312
16229735,0.892,0.771,0.651,0.633,0.394
16229997,0.837,0.802,0.752,0.703,0.203
16231417,0.807,0.724,0.711,0.643,0.39
16231701,0.806,0.651,0.671,0.661,0.376
16233477,0.815,0.713,0.697,0.631,0.277
16745015,0.65,0.651,0.58,0.65,0.29
16765853,0.725,0.657,0.694,0.679,0.321
16771854,0.833,0.71,0.729,0.676,0.287
5493662,0.843,0.714,0.629,0.609,0.313
5506012,0.773,0.669,0.656,0.565,0.34
14563984,0.731,0.558,0.666,0.629,0.434
14565861,0.74,0.7,0.654,0.589,0.294
15259106,0.82,0.66,0.705,0.649,0.444
15259253,0.705,0.679,0.724,0.631,0.15
15259604,0.702,0.671,0.73,0.653,0.334
15259715,0.796,0.555,0.639,0.652,0.374
15262820,0.7,0.712,0.7,0.693,0.279
15264609,0.723,0.734,0.7,0.694,0.284
16773056,0.828,0.673,0.648,0.549,0.432
15265775,0.775,0.682,0.633,0.657,0.284
15265990,0.891,0.804,0.734,0.635,0.404
15268048,0.789,0.651,0.63,0.709,0.382
15268771,0.879,0.72,0.671,0.618,0.4
15268838,0.831,0.673,0.678,0.591,0.336
15271655,0.803,0.7,0.672,0.681,0.386
15272024,0.792,0.499,0.678,0.664,0.373
15272623,0.752,0.77,0.645,0.737,0.295
15272784,0.857,0.698,0.711,0.677,0.329
15274370,0.844,0.762,0.702,0.677,0.349
15275738,0.658,0.676,0.628,0.712,0.391
15276629,0.817,0.604,0.681,0.648,0.415
15278374,0.754,0.67,0.641,0.595,0.397
15280084,0.811,0.741,0.74,0.663,0.239
15280207,0.831,0.606,0.652,0.687,0.406
16774802,0.758,0.637,0.699,0.648,0.351
15280208,0.739,0.668,0.668,0.635,0.504
15280516,0.66,0.645,0.666,0.678,0.207
15280603,0.757,0.739,0.645,0.666,0.328
15280689,0.769,0.666,0.64,0.601,0.381
15280861,0.7,0.688,0.747,0.655,0.244
15281076,0.851,0.678,0.659,0.659,0.4
15281288,0.79,0.606,0.627,0.518,0.409
15281911,0.861,0.747,0.735,0.641,0.476
15281965,0.744,0.667,0.64,0.663,0.265
15365998,0.828,0.675,0.703,0.7,0.446
15366537,0.824,0.797,0.617,0.704,0.32
15367156,0.843,0.696,0.635,0.672,0.449
15368065,0.8,0.819,0.717,0.669,0.365
15369457,0.796,0.65,0.65,0.584,0.349
15369466,0.796,0.654,0.649,0.589,0.342
15370553,0.826,0.739,0.652,0.706,0.261
15371008,0.686,0.69,0.657,0.644,0.373
15372333,0.698,0.727,0.684,0.662,0.357
15373276,0.779,0.67,0.629,0.643,0.416
15373283,0.851,0.655,0.643,0.627,0.374
15373340,0.922,0.677,0.675,0.69,0.348
15373742,0.895,0.725,0.685,0.62,0.373
15374657,0.736,0.675,0.639,0.631,0.364
15374755,0.703,0.605,0.631,0.554,0.376
15375188,0.744,0.601,0.649,0.7,0.416
15375238,0.877,0.671,0.667,0.629,0.348
15377059,0.861,0.619,0.699,0.532,0.377
15377421,0.809,0.747,0.751,0.638,0.185
15379379,0.809,0.539,0.641,0.542,0.439
15379409,0.719,0.561,0.631,0.626,0.421
15380744,0.765,0.739,0.638,0.513,0.317
15381612,0.824,0.585,0.678,0.679,0.338
15381952,0.811,0.611,0.683,0.689,0.47
15382307,0.892,0.799,0.709,0.733,0.333
15383463,0.823,0.687,0.61,0.599,0.32
15383497,0.899,0.759,0.692,0.627,0.255
15384241,0.817,0.754,0.685,0.667,0.291
15384271,0.83,0.566,0.595,0.679,0.337
15384741,0.838,0.692,0.672,0.669,0.304
15385661,0.741,0.622,0.657,0.664,0.426
15386819,0.788,0.635,0.68,0.701,0.467
15386988,0.777,0.724,0.723,0.617,0.303
15387415,0.828,0.564,0.65,0.603,0.414
15387707,0.758,0.655,0.642,0.639,0.513
15387870,0.768,0.627,0.64,0.647,0.344
15387907,0.807,0.66,0.602,0.692,0.266
15388305,0.726,0.673,0.709,0.619,0.353
15389376,0.834,0.639,0.638,0.624,0.374
15389776,0.683,0.711,0.663,0.639,0.297
15390567,0.846,0.6,0.665,0.566,0.385
15390684,0.757,0.742,0.623,0.667,0.36
15390971,0.839,0.626,0.659,0.684,0.366
15391102,0.732,0.632,0.708,0.568,0.327
15391583,0.839,0.807,0.798,0.642,0.307
15392053,0.755,0.635,0.743,0.558,0.414
15392073,0.854,0.618,0.704,0.683,0.283
15392391,0.717,0.719,0.675,0.634,0.354
15392878,0.752,0.602,0.611,0.694,0.272
15548933,0.708,0.643,0.712,0.61,0.224
15552622,0.835,0.795,0.68,0.662,0.271
15553912,0.705,0.643,0.681,0.609,0.261
15554021,0.858,0.617,0.692,0.66,0.395
15554080,0.795,0.572,0.695,0.69,0.343
15555645,0.764,0.669,0.659,0.561,0.408
15557717,0.795,0.771,0.746,0.637,0.293
15726728,0.705,0.645,0.563,0.637,0.366
15727103,0.7,0.672,0.685,0.624,0.372
7695342,0.708,0.605,0.586,0.645,0.352
7697812,0.862,0.813,0.728,0.649,0.406
23127272,0.806,0.723,0.686,0.692,0.238
17864127,0.85,0.752,0.743,0.635,0.341
17865039,0.772,0.672,0.648,0.608,0.389
17865252,0.892,0.597,0.645,0.541,0.465
17865810,0.781,0.618,0.621,0.676,0.344
17866266,0.814,0.615,0.654,0.678,0.433
17866414,0.828,0.855,0.703,0.747,0.335
17869922,0.812,0.786,0.782,0.683,0.205
17869952,0.836,0.726,0.682,0.64,0.276
17870415,0.819,0.633,0.651,0.588,0.453
17870501,0.743,0.737,0.759,0.685,0.173
23164604,0.803,0.756,0.617,0.66,0.278
17870834,0.828,0.791,0.707,0.633,0.303
17870886,0.692,0.658,0.607,0.498,0.407
17871777,0.782,0.611,0.701,0.569,0.411
17872052,0.734,0.617,0.771,0.683,0.273
17872077,0.794,0.669,0.612,0.603,0.375
17872114,0.872,0.714,0.676,0.646,0.292
17872613,0.894,0.718,0.671,0.638,0.357
17872744,0.729,0.608,0.611,0.625,0.282
17872874,0.889,0.656,0.662,0.645,0.376
17873693,0.697,0.692,0.724,0.66,0.184
17873937,0.864,0.679,0.668,0.675,0.389
17874544,0.699,0.702,0.58,0.599,0.379
17875219,0.793,0.79,0.631,0.688,0.327
17876003,0.76,0.662,0.639,0.588,0.385
15808765,0.739,0.746,0.696,0.578,0.307
17876034,0.805,0.807,0.68,0.731,0.24
17876079,0.805,0.731,0.668,0.63,0.381
17877122,0.817,0.648,0.688,0.622,0.354
17877850,0.734,0.671,0.708,0.677,0.328
17878322,0.784,0.71,0.637,0.604,0.449
17878976,0.768,0.584,0.654,0.673,0.365
17879050,0.827,0.594,0.668,0.68,0.468
17879241,0.783,0.539,0.634,0.626,0.389
17879646,0.853,0.697,0.615,0.612,0.38
17880192,0.825,0.586,0.657,0.609,0.406
17880700,0.781,0.584,0.703,0.598,0.401
17880818,0.647,0.69,0.644,0.667,0.248
17881732,0.757,0.791,0.696,0.713,0.281
17882881,0.835,0.645,0.681,0.602,0.315
17882897,0.895,0.793,0.701,0.684,0.288
17883882,0.748,0.68,0.618,0.665,0.319
17883975,0.796,0.667,0.682,0.598,0.325
17884062,0.826,0.697,0.645,0.67,0.368
17885166,0.844,0.756,0.684,0.666,0.294
17885184,0.927,0.739,0.649,0.661,0.296
17886764,0.847,0.705,0.705,0.65,0.292
17886775,0.796,0.604,0.698,0.681,0.336
17887030,0.893,0.641,0.651,0.696,0.246
17887277,0.748,0.747,0.669,0.637,0.244
17888058,0.718,0.692,0.686,0.643,0.286
17889214,0.775,0.552,0.543,0.602,0.361
17889713,0.827,0.646,0.688,0.735,0.382
